cases      pop        city age
1 172675 Minneapolis     15_24
16 123065 Minneapolis     25_34
30  96216 Minneapolis     35_44
71  92051 Minneapolis     45_54
102  72159 Minneapolis     55_64
130  54722 Minneapolis     65_74
133  32185 Minneapolis     75_84
40   8328 Minneapolis       85+
4 181343      Dallas     15_24
38 146207      Dallas     25_34
119 121374      Dallas     35_44
221 111353      Dallas     45_54
259  83004      Dallas     55_64
310  55932      Dallas     65_74
226  29007      Dallas     75_84
65   7583      Dallas       85+
